Krate,run,int,log.int,log.time,sq.time,time,season,Km,Knr
6.3333333333,2,30,3.4011973817,-2.0253743204,0.3632415786,0.1319444444,Spring,1162,190
5.0666666667,2,30,3.4011973817,-1.8787708462,0.39086798,0.1527777778,Spring,1010,152
3.8333333333,2,60,4.0943445622,-1.7509374747,0.4166666667,0.1736111111,Spring,780,230
0.9166666667,2,60,4.0943445622,-1.5358260951,0.4639803636,0.2152777778,Spring,725,55
0.825,2,120,4.7874917428,-1.3588953869,0.5068968775,0.2569444444,Spring,626,99
0.175,2,120,4.7874917428,-1.0779930015,0.5833333333,0.3402777778,Spring,605,21
1.7583333333,2,120,4.7874917428,-0.8589394354,0.6508541397,0.4236111111,Spring,394,211
0.25,2,120,4.7874917428,-0.6793538584,0.7120003121,0.5069444444,Spring,364,30
1.5166666667,2,240,5.4806389233,-0.5271620431,0.7682953714,0.5902777778,Spring,0,364
10.7,2,10,2.302585093,-5.6629604801,0.0589255651,0.0034722222,Spring,2409,107
10.2,2,10,2.302585093,-4.9698132996,0.0833333333,0.0069444444,Spring,2307,102
3.6,2,10,2.302585093,-4.276666119,0.1178511302,0.0138888889,Spring,2271,36
14.6,2,10,2.302585093,-3.8712010109,0.1443375673,0.0208333333,Spring,2125,146
4.9,2,10,2.302585093,-3.5835189385,0.1666666667,0.0277777778,Spring,2076,49
9.2,2,10,2.302585093,-3.3603753871,0.1863389981,0.0347222222,Spring,1984,92
6.1,2,10,2.302585093,-3.1780538303,0.2041241452,0.0416666667,Spring,1923,61
2.4,2,20,2.9957322736,-3.0239031505,0.2204792759,0.0486111111,Spring,1875,48
7.45,2,20,2.9957322736,-2.7725887222,0.25,0.0625,Spring,1726,149
1.65,2,20,2.9957322736,-2.5719180268,0.2763853992,0.0763888889,Spring,1693,33
1.1666666667,2,30,3.4011973817,-2.4048639421,0.3004626063,0.0902777778,Spring,1658,35
3.1333333333,2,30,3.4011973817,-2.1972245773,0.3333333333,0.1111111111,Spring,1564,94
4,2,30,3.4011973817,-2.0253743204,0.3632415786,0.1319444444,Spring,1444,120
1.7,2,30,3.4011973817,-1.8787708462,0.39086798,0.1527777778,Spring,1393,51
5.6666666667,2,60,4.0943445622,-1.7509374747,0.4166666667,0.1736111111,Spring,1053,340
0.9166666667,2,60,4.0943445622,-1.5358260951,0.4639803636,0.2152777778,Spring,998,55
2.1666666667,2,120,4.7874917428,-1.3588953869,0.5068968775,0.2569444444,Spring,738,260
1.475,2,120,4.7874917428,-1.0779930015,0.5833333333,0.3402777778,Spring,561,177
1.075,2,120,4.7874917428,-0.8589394354,0.6508541397,0.4236111111,Spring,432,129
0.4,2,120,4.7874917428,-0.6793538584,0.7120003121,0.5069444444,Spring,384,48
1.6,2,240,5.4806389233,-0.5271620431,0.7682953714,0.5902777778,Spring,0,384
11.7,2,10,2.302585093,-5.6629604801,0.0589255651,0.0034722222,Spring,2418,117
12.8,2,10,2.302585093,-4.9698132996,0.0833333333,0.0069444444,Spring,2290,128
6.6,2,10,2.302585093,-4.276666119,0.1178511302,0.0138888889,Spring,2224,66
7.1,2,10,2.302585093,-3.8712010109,0.1443375673,0.0208333333,Spring,2153,71
5,2,10,2.302585093,-3.5835189385,0.1666666667,0.0277777778,Spring,2103,50
5.4,2,10,2.302585093,-3.3603753871,0.1863389981,0.0347222222,Spring,2049,54
5.7,2,10,2.302585093,-3.1780538303,0.2041241452,0.0416666667,Spring,1992,57
2.1,2,20,2.9957322736,-3.0239031505,0.2204792759,0.0486111111,Spring,1950,42
1.9,2,20,2.9957322736,-2.7725887222,0.25,0.0625,Spring,1912,38
0.9,2,20,2.9957322736,-2.5719180268,0.2763853992,0.0763888889,Spring,1894,18
1.3333333333,2,30,3.4011973817,-2.4048639421,0.3004626063,0.0902777778,Spring,1854,40
7.4333333333,2,30,3.4011973817,-2.1972245773,0.3333333333,0.1111111111,Spring,1631,223
10,2,30,3.4011973817,-2.0253743204,0.3632415786,0.1319444444,Spring,1331,300
4.6666666667,2,30,3.4011973817,-1.8787708462,0.39086798,0.1527777778,Spring,1191,140
2.85,2,60,4.0943445622,-1.7509374747,0.4166666667,0.1736111111,Spring,1020,171
2.3333333333,2,60,4.0943445622,-1.5358260951,0.4639803636,0.2152777778,Spring,880,140
2.8333333333,2,120,4.7874917428,-1.3588953869,0.5068968775,0.2569444444,Spring,540,340
0.8916666667,2,120,4.7874917428,-1.0779930015,0.5833333333,0.3402777778,Spring,433,107
0.4666666667,2,120,4.7874917428,-0.8589394354,0.6508541397,0.4236111111,Spring,377,56
0.4583333333,2,120,4.7874917428,-0.6793538584,0.7120003121,0.5069444444,Spring,322,55
1.3416666667,2,240,5.4806389233,-0.5271620431,0.7682953714,0.5902777778,Spring,0,322
13.7,2,10,2.302585093,-5.6629604801,0.0589255651,0.0034722222,Spring,2321,137
8.8,2,10,2.302585093,-4.9698132996,0.0833333333,0.0069444444,Spring,2233,88
7.4,2,10,2.302585093,-4.276666119,0.1178511302,0.0138888889,Spring,2159,74
8.8,2,10,2.302585093,-3.8712010109,0.1443375673,0.0208333333,Spring,2071,88
3,2,10,2.302585093,-3.5835189385,0.1666666667,0.0277777778,Spring,2041,30
6,2,10,2.302585093,-3.3603753871,0.1863389981,0.0347222222,Spring,1981,60
2.6,2,10,2.302585093,-3.1780538303,0.2041241452,0.0416666667,Spring,1955,26
3.15,2,20,2.9957322736,-3.0239031505,0.2204792759,0.0486111111,Spring,1892,63
2.9,2,20,2.9957322736,-2.7725887222,0.25,0.0625,Spring,1834,58
1.4,2,20,2.9957322736,-2.5719180268,0.2763853992,0.0763888889,Spring,1806,28
6.5,2,30,3.4011973817,-2.4048639421,0.3004626063,0.0902777778,Spring,1611,195
2.2333333333,2,30,3.4011973817,-2.1972245773,0.3333333333,0.1111111111,Spring,1544,67
8.8,2,30,3.4011973817,-2.0253743204,0.3632415786,0.1319444444,Spring,1280,264
1.3666666667,2,30,3.4011973817,-1.8787708462,0.39086798,0.1527777778,Spring,1239,41
5.5666666667,2,60,4.0943445622,-1.7509374747,0.4166666667,0.1736111111,Spring,905,334
0.7,2,60,4.0943445622,-1.5358260951,0.4639803636,0.2152777778,Spring,863,42
1.4333333333,2,120,4.7874917428,-1.3588953869,0.5068968775,0.2569444444,Spring,691,172
0.9583333333,2,120,4.7874917428,-1.0779930015,0.5833333333,0.3402777778,Spring,576,115
1.35,2,120,4.7874917428,-0.8589394354,0.6508541397,0.4236111111,Spring,414,162
0.1166666667,2,120,4.7874917428,-0.6793538584,0.7120003121,0.5069444444,Spring,400,14
1.6666666667,2,240,5.4806389233,-0.5271620431,0.7682953714,0.5902777778,Spring,0,400
